"","ID","week","tumor_vol","block","treat"
"504","496-6",1,0.5,"OB","AdLib"
"505","496-6",2,0.22,"OB","AdLib"
"506","496-6",3,0.44,"OB","AdLib"
"507","496-6",4,0,"OB","AdLib"
"508","496-6",5,0,"OB","AdLib"
"509","496-6",6,0,"OB","AdLib"
"510","496-6",7,0,"OB","AdLib"
"511","496-6",8,0,"OB","AdLib"
"512","496-7",0,0.09,"OB","AdLib"
"513","496-7",1,0.01,"OB","AdLib"
"514","496-7",2,0,"OB","AdLib"
"515","496-7",3,0,"OB","AdLib"
"516","496-7",4,0,"OB","AdLib"
"517","496-7",5,0,"OB","AdLib"
"518","496-7",6,0,"OB","AdLib"
"519","496-7",7,0,"OB","AdLib"
"520","496-7",8,0,"OB","AdLib"
"521","504-1",0,0.5,"OB","WM"
"522","504-1",1,0.18,"OB","WM"
"523","504-1",2,0.05,"OB","WM"
"524","504-1",3,0.06,"OB","WM"
"525","504-1",4,0,"OB","WM"
"526","504-1",5,0,"OB","WM"
"527","504-1",6,0,"OB","WM"
"528","504-1",7,0,"OB","WM"
"529","504-1",8,0,"OB","WM"
"530","504-3",0,0.9,"OB","WM"
"531","504-3",1,0.35,"OB","WM"
"532","504-3",2,0.08,"OB","WM"
"533","504-3",3,0.1,"OB","WM"
"534","504-3",4,0.01,"OB","WM"
"535","504-3",5,0.01,"OB","WM"
"536","504-3",6,0,"OB","WM"
"537","504-3",7,0,"OB","WM"
"538","504-3",8,0,"OB","WM"
"539","504-4",0,1.3,"OB","WM"
"540","504-4",1,0.81,"OB","WM"
"541","504-4",2,0.62,"OB","WM"
"542","504-4",3,0.45,"OB","WM"
"543","504-4",4,0.08,"OB","WM"
"544","504-4",5,0.13,"OB","WM"
"545","504-4",6,0.11,"OB","WM"
"546","504-4",7,0.01,"OB","WM"
"547","504-4",8,0.11,"OB","WM"
"548","504-5",0,0.29,"OB","WM"
"549","504-5",1,0.29,"OB","WM"
"550","504-5",2,0.08,"OB","WM"
"551","504-5",3,0.1,"OB","WM"
"552","504-5",4,0,"OB","WM"
"553","504-5",5,0,"OB","WM"
"554","504-5",6,0,"OB","WM"
"555","504-5",7,0,"OB","WM"
"556","504-5",8,0,"OB","WM"
"557","505-1",0,1.04,"L","WM"
"558","505-1",1,0.7,"L","WM"
"559","505-1",2,0.67,"L","WM"
"560","505-1",3,0.22,"L","WM"
"561","505-1",4,0.21,"L","WM"
"562","505-1",5,0.17,"L","WM"
"563","505-1",6,0.11,"L","WM"
"564","505-1",7,0.1,"L","WM"
"565","505-1",8,0.13,"L","WM"
"566","505-2",0,0.23,"L","WM"
"567","505-2",1,0.22,"L","WM"
"568","505-2",2,0.07,"L","WM"
"569","505-2",3,0,"L","WM"
"570","505-2",4,0,"L","WM"
"571","505-2",5,0,"L","WM"
"572","505-2",6,0,"L","WM"
"573","505-2",7,0,"L","WM"
"574","505-2",8,0,"L","WM"
"575","509-1",0,4.89,"L","AdLib"
"576","509-1",1,8.15,"L","AdLib"
"577","509-1",2,15.3,"L","AdLib"
"578","509-1",3,13.65,"L","AdLib"
"579","509-2",0,0.25,"L","AdLib"
"580","509-2",1,0.6,"L","AdLib"
"581","509-2",2,1.31,"L","AdLib"
"582","509-2",3,1.04,"L","AdLib"
"583","509-3",0,0,"L","AdLib"
"584","509-3",1,0,"L","AdLib"
"585","509-3",2,0,"L","AdLib"
"586","509-3",3,0,"L","AdLib"
"587","509-4",0,0.12,"L","AdLib"
"588","509-4",1,0.51,"L","AdLib"
"589","509-4",2,0.64,"L","AdLib"
"590","509-4",3,0.64,"L","AdLib"
"591","509-5",0,0.14,"L","AdLib"
"592","509-5",1,0.05,"L","AdLib"
"593","509-5",2,0.07,"L","AdLib"
"594","509-5",3,0.07,"L","AdLib"
"595","509-6",0,0,"L","AdLib"
"596","509-6",1,0,"L","AdLib"
"597","509-6",2,0,"L","AdLib"
"598","509-6",3,0,"L","AdLib"
"599","511-1",0,0.08,"L","AdLib"
"600","511-1",1,0.05,"L","AdLib"
"601","511-1",2,0.02,"L","AdLib"
"602","511-1",3,0.01,"L","AdLib"
"603","511-1",4,0,"L","AdLib"
"604","511-1",5,0,"L","AdLib"
"605","511-1",6,0,"L","AdLib"
"606","511-1",7,0,"L","AdLib"
"607","511-1",8,0.03,"L","AdLib"
"608","511-3",0,0.04,"L","AdLib"
"609","511-3",1,0.02,"L","AdLib"
"610","511-3",2,0.01,"L","AdLib"
"611","511-3",3,0.01,"L","AdLib"
"612","511-3",4,0,"L","AdLib"
"613","511-3",5,0,"L","AdLib"
"614","511-3",6,0,"L","AdLib"
"615","511-3",7,0,"L","AdLib"
"616","511-3",8,0,"L","AdLib"
"617","511-4",0,0,"L","AdLib"
"618","511-4",1,0,"L","AdLib"
"619","511-4",2,0,"L","AdLib"
"620","511-4",3,0,"L","AdLib"
"621","511-4",4,0.12,"L","AdLib"
"622","511-4",5,0.04,"L","AdLib"
"623","511-4",6,0.08,"L","AdLib"
"624","511-4",7,0.07,"L","AdLib"
"625","511-4",8,0.1,"L","AdLib"
"626","511-5",0,0,"L","AdLib"
"627","511-5",1,0,"L","AdLib"
"628","511-5",2,0,"L","AdLib"
"629","511-5",3,0,"L","AdLib"
"630","511-5",4,0,"L","AdLib"
"631","511-5",5,0,"L","AdLib"
"632","511-5",6,0.06,"L","AdLib"
"633","511-5",7,0.05,"L","AdLib"
"634","511-5",8,0.14,"L","AdLib"
"635","515-1",0,0.39,"OB","WM"
"636","515-1",1,0.22,"OB","WM"
"637","515-1",2,0.21,"OB","WM"
"638","515-1",3,0.07,"OB","WM"
"639","515-1",4,0.07,"OB","WM"
"640","515-1",5,0.22,"OB","WM"
"641","515-1",6,0.09,"OB","WM"
"642","515-1",7,0.08,"OB","WM"
"643","515-1",8,0.09,"OB","WM"
"644","515-2",0,2.01,"OB","WM"
"645","515-2",1,1.23,"OB","WM"
"646","515-2",2,1.58,"OB","WM"
"647","515-2",3,0.36,"OB","WM"
"648","515-2",4,0.35,"OB","WM"
"649","515-2",5,0.29,"OB","WM"
"650","515-2",6,0.15,"OB","WM"
"651","515-2",7,0.28,"OB","WM"
"652","515-2",8,0.11,"OB","WM"
"653","520-1",0,0.27,"OB","AdLib"
"654","520-1",1,0.09,"OB","AdLib"
"655","520-1",2,0.19,"OB","AdLib"
"656","520-1",3,0.13,"OB","AdLib"
"657","520-1",4,0,"OB","AdLib"
"658","520-1",5,0,"OB","AdLib"
